partner,habitat,species,mean_confidence,median_confidence,min_confidence,max_confidence,sd_confidence,n_recordings
belgium,G,Branta leucopsis_Barnacle Goose,0.7854230205217999,0.772760391235352,0.708793103694916,0.938046872615814,0.07533707096682651,9
belgium,G,Bubo bubo_Eurasian Eagle-Owl,0.7984152634938559,0.759227752685547,0.701509118080139,0.9499391913414,0.07974729633008971,18
belgium,G,Burhinus oedicnemus_Eurasian Thick-knee,0.8127522422717166,0.789683222770691,0.712133884429932,0.958590030670166,0.07818020784570931,13
belgium,G,Buteo buteo_Common Buzzard,0.8517446659996811,0.852410018444061,0.700093448162079,0.998644888401031,0.08171337157563659,2077
belgium,G,Buteo lagopus_Rough-legged Hawk,0.768916666507721,0.768916666507721,0.768916666507721,0.768916666507721,NA,1
belgium,G,Calidris alpina_Dunlin,0.7977818648020427,0.741909742355347,0.714792788028717,0.936643064022064,0.12101924140236943,3
belgium,G,Calidris pugnax_Ruff,0.783748865127563,0.783748865127563,0.783748865127563,0.783748865127563,NA,1
belgium,G,Caprimulgus europaeus_Eurasian Nightjar,0.8261623978614808,0.823161780834198,0.721585810184479,0.937663316726685,0.08708292347495278,6
belgium,G,Carduelis carduelis_European Goldfinch,0.8125087388100163,0.808106064796448,0.715700566768646,0.96142566204071,0.061875737359110936,31
belgium,G,Certhia brachydactyla_Short-toed Treecreeper,0.8231883922527576,0.821638971567154,0.68911337852478,0.98575484752655,0.07966856009181847,58
belgium,G,Certhia familiaris_Eurasian Treecreeper,0.599233865737915,0.599233865737915,0.599233865737915,0.599233865737915,NA,1
belgium,G,Cettia cetti_Cetti's Warbler,0.8205495597365385,0.8254523277282715,0.636415421962738,0.997577488422394,0.0994789942779923,998
belgium,G,Charadrius dubius_Little Ringed Plover,0.8117667400836944,0.788035660982132,0.70243626832962,0.980855286121368,0.08627951282006428,50
belgium,G,Charadrius hiaticula_Common Ringed Plover,0.733901302019755,0.733476400375366,0.703925907611847,0.764301598072052,0.030190087871554375,3
belgium,G,Chlidonias hybrida_Whiskered Tern,0.720489263534546,0.720489263534546,0.720489263534546,0.720489263534546,NA,1
belgium,G,Chloris chloris_European Greenfinch,0.8035801947116854,0.8035801947116854,0.7252596616745,0.881900727748871,0.1107619600334778,2
belgium,G,Chroicocephalus ridibundus_Black-headed Gull,0.7823543974331447,0.7774278819561005,0.703341066837311,0.905368566513062,0.05600774089696788,28
belgium,G,Circus aeruginosus_Eurasian Marsh-Harrier,0.8649502726311379,0.884073376655579,0.726688027381897,0.986491978168488,0.08578480980404919,47
belgium,G,Circus cyaneus_Hen Harrier,0.7922655344009399,0.7922655344009399,0.723966598510742,0.860564470291138,0.0965892814315686,2
belgium,G,Circus pygargus_Montagu's Harrier,0.8224554061889651,0.830713152885437,0.779220819473267,0.857432246208191,0.039754240067638266,3
belgium,G,Coccothraustes coccothraustes_Hawfinch,0.8483865559101104,0.874489277601242,0.719847738742828,0.99957686662674,0.09698975662248985,10
belgium,G,Columba livia_Rock Pigeon,0.790716175849621,0.784077405929565,0.721565186977386,0.939677357673645,0.06976028762725041,13
belgium,G,Columba oenas_Stock Dove,0.870459090839041,0.8782777786254881,0.70648455619812,0.997197031974792,0.08755358592287639,188
belgium,G,Columba palumbus_Common Wood-Pigeon,0.8633236962856012,0.86852365732193,0.701409697532654,0.99975174665451,0.09023761254367055,1295
belgium,G,Corvus corax_Common Raven,0.6518680735638267,0.6271960735321045,0.504684150218964,0.938133239746094,0.11849008374784264,76
belgium,G,Corvus cornix_Hooded Crow,0.7908209403260396,0.7805014848709105,0.700000464916229,0.975553393363953,0.06493163133732831,832
belgium,G,Corvus corone_Carrion Crow,0.7722934379912259,0.760865122079849,0.700205087661743,0.976251184940338,0.05726386809084776,798
belgium,G,Corvus frugilegus_Rook,0.8008818754128048,0.7948167622089386,0.702625811100006,0.977501392364502,0.06902474249884935,126
belgium,G,Corvus monedula_Eurasian Jackdaw,0.7535371898577131,0.7485584318637846,0.500218570232391,0.999696612358093,0.14639992814780517,1276
belgium,G,Coturnix coturnix_Common Quail,0.9432023379567795,0.978252232074738,0.701185405254364,0.99995219707489,0.0754834558934995,883
belgium,G,Cuculus canorus_Common Cuckoo,0.7772243393665296,0.79587459564209,0.500006318092346,0.999766409397125,0.14137713107413957,10450
belgium,G,Curruca communis_Greater Whitethroat,0.8520499623846263,0.8520873486995695,0.727229356765747,0.998733937740326,0.07371878086835097,512
belgium,G,Curruca curruca_Lesser Whitethroat,0.7909108400344846,0.775135934352875,0.724884986877441,0.872711598873138,0.07516523491933853,3
belgium,G,Curruca melanocephala_Sardinian Warbler,0.794331431388855,0.794331431388855,0.794331431388855,0.794331431388855,NA,1
belgium,G,Cyanistes caeruleus_Eurasian Blue Tit,0.6601093937953313,0.6313779950141905,0.50078284740448,0.937165498733521,0.1210419975016461,120
belgium,G,Cygnus atratus_Black Swan,0.700095534324646,0.700095534324646,0.700095534324646,0.700095534324646,NA,1
belgium,G,Cygnus columbianus_Tundra Swan,0.8067219257354735,0.790853917598724,0.705463767051697,0.962867975234985,0.07511224794299481,11
belgium,G,Cygnus cygnus_Whooper Swan,0.8297098457813262,0.821577340364456,0.701238214969635,0.965020895004272,0.09711849352834766,10
belgium,G,Delichon urbicum_Common House-Martin,0.818985489281741,0.817613959312439,0.640895903110504,0.993796348571777,0.10050720488029087,209
belgium,G,Dendrocopos major_Great Spotted Woodpecker,0.7246401945356489,0.723947077989578,0.500480055809021,0.987100720405579,0.13234580507148158,606
belgium,G,Dendrocoptes medius_Middle Spotted Woodpecker,0.8036142587661742,0.8134243786334989,0.711906135082245,0.875702142715454,0.07298457806998297,4
belgium,G,Dryobates minor_Lesser Spotted Woodpecker,0.842689069039231,0.836605310440063,0.704325675964355,0.990621566772461,0.084899049301725385,109
belgium,G,Dryocopus martius_Black Woodpecker,0.8168351437364307,0.8231431245803835,0.706257462501526,0.986800074577332,0.08123755481305861,14
belgium,G,Egretta garzetta_Little Egret,0.7921785116195679,0.767315804958344,0.733303248882294,0.909475862979889,0.06438610083610216,7
belgium,G,Elanus caeruleus_Black-winged Kite,0.864189207553864,0.864189207553864,0.864189207553864,0.864189207553864,NA,1
belgium,G,Emberiza cirlus_Cirl Bunting,0.885409891605377,0.885409891605377,0.885409891605377,0.885409891605377,NA,1
belgium,G,Emberiza citrinella_Yellowhammer,0.765857875347137,0.765857875347137,0.765857875347137,0.765857875347137,NA,1
belgium,G,Emberiza hortulana_Ortolan Bunting,0.8020231667554603,0.777494549751282,0.700021386146545,0.964597404003143,0.0780551626787307,53
belgium,G,Emberiza schoeniclus_Reed Bunting,0.8844056736145701,0.889577329158783,0.771428883075714,0.998691022396088,0.06437357679881754,280
belgium,G,Erithacus rubecula_European Robin,0.754171807225011,0.74478805065155,0.635658919811249,0.967028677463531,0.08212097427313333,119
belgium,G,Falco columbarius_Merlin,0.724827319383621,0.724827319383621,0.713202357292175,0.736452281475067,0.01644017905179608,2
belgium,G,Falco peregrinus_Peregrine Falcon,0.8123481750488281,0.7961204051971436,0.70434033870697,0.957674384117126,0.08892450239415614,10
belgium,G,Falco tinnunculus_Eurasian Kestrel,0.8967428809546774,0.921516180038452,0.700364649295807,0.999334633350372,0.0826023174066597,293
belgium,G,Ficedula hypoleuca_European Pied Flycatcher,0.8465914279222491,0.8565413653850555,0.729299902915955,0.964819729328156,0.0767162820935458,8
belgium,G,Fratercula arctica_Atlantic Puffin,0.8550903424620628,0.8605829775333405,0.703000843524933,0.93690425157547,0.07633561896171026,8
belgium,G,Fringilla coelebs_Common Chaffinch,0.6361783288774037,0.610231339931488,0.500642359256744,0.909698843955994,0.10201653083993936,21
belgium,G,Fringilla montifringilla_Brambling,0.8248042464256286,0.811048567295074,0.71221399307251,0.945290625095367,0.11342552722856947,5
belgium,G,Fulica atra_Eurasian Coot,0.8841071168085504,0.899910271167755,0.701570391654968,0.999094486236572,0.08846149287754776,881
belgium,G,Fulmarus glacialis_Northern Fulmar,0.802326437388881,0.787190139293671,0.70053642988205,0.965540051460266,0.07152383001511144,209
belgium,G,Gallinago gallinago_Common Snipe,0.8271965881188711,0.854674935340881,0.598923802375793,0.991651475429535,0.11761167849341413,108
belgium,G,Gallinula chloropus_Eurasian Moorhen,0.8600640585982656,0.863764256238937,0.700466156005859,0.999739706516266,0.09176761700459139,664
belgium,G,Garrulus glandarius_Eurasian Jay,0.7397128596770025,0.730982601642609,0.530446708202362,0.98473584651947,0.12932006378321134,339
belgium,G,Gavia arctica_Arctic Loon,0.7233262211084368,0.711871862411499,0.702858150005341,0.766703009605408,0.029358417614980297,4
